"id";"name";"slug";"kanton_code";"kanton_name";"plz";"ort";"adresse";"postfach";"telefon";"fax";"email";"homepage";"online_kalender_vorhanden_ja_nein";"online_kalender_url";"zustaendige_gemeinden"
"zivilstandsamt-des-kreises-visp-visp-vs";"Zivilstandsamt des Kreises Visp";"zivilstandsamt-des-kreises-visp-visp-vs";"VS";"Wallis";"3930";"Visp";"St. Martiniplatz 1";"Postfach 630";"";"";"zivilstand-visp@admin.vs.ch";"";"";"";"Agarn, Albinen, Ausserberg, Baltschieder, Blatten, Bürchen, Eggerberg, Eischoll, Eisten, Embd, Ergisch, Ferden, Gampel-Bratsch, Grächen, Guttet-Feschel, Inden, Kippel, Lalden, Leuk, Leukerbad, Niedergesteln, Oberems, Randa, Raron, Saas-Almagell, Saas-Balen, Saas-Fee, Saas-Grund, Salgesch, St. Niklaus, Stalden, Staldenried, Steg-Hohtenn, Täsch, Törbel, Turtmann-Unterems, Unterbäch, Varen, Visp, Visperterminen, Wiler (Lötschen), Zeneggen, Zermatt"
"zivilstandsamt-kreis-baar-baar-zg";"Zivilstandsamt Kreis Baar";"zivilstandsamt-kreis-baar-baar-zg";"ZG";"Zug";"6341";"Baar";"Rathausstrasse 2";"";"";"+41 41 769 01 90";"zivilstandsamt@baar.ch";"";"";"";"Baar, Menzingen, Neuheim"
"zivilstandsamt-kreis-cham-cham-zg";"Zivilstandsamt Kreis Cham";"zivilstandsamt-kreis-cham-cham-zg";"ZG";"Zug";"6330";"Cham";"Mandelhof";"";"";"+41 41 723 88 99";"zivilstandsamt@cham.ch";"";"";"";"Cham, Hünenberg, Risch"
"zivilstandsamt-kreis-zug-zug-zg";"Zivilstandsamt Kreis Zug";"zivilstandsamt-kreis-zug-zug-zg";"ZG";"Zug";"6301";"Zug";"Stadthaus, Gubelstrasse 22";"Postfach";"";"";"zivilstandsamt@stadtzug.ch";"";"";"";"Oberägeri, Steinhausen, Unterägeri, Walchwil, Zug"
"zivilstandsamt-dielsdorf-dielsdorf-zh";"Zivilstandsamt Dielsdorf";"zivilstandsamt-dielsdorf-dielsdorf-zh";"ZH";"Zuerich";"8157";"Dielsdorf";"Mühlestrasse 4";"Postfach 222";"";"+41 44 854 71 85";"zivilstandsamt@dielsdorf.ch";"";"";"";"Bachs, Dielsdorf, Neerach, Niederglatt, Niederhasli, Niederweningen, Oberglatt, Oberweningen, Regensberg, Schleinikon, Schöfflisdorf, Steinmaur"
"zivilstandsamt-volketswil-volketswil-zh";"Zivilstandsamt Volketswil";"zivilstandsamt-volketswil-volketswil-zh";"ZH";"Zuerich";"8604";"Volketswil";"Zentralstrasse 21";"";"";"+41 44 910 21 01";"zivilstandsamt@volketswil.ch";"";"";"";"Greifensee, Schwerzenbach, Volketswil"
"zivilstandsamt-zollikon-zollikon-zh";"Zivilstandsamt Zollikon";"zivilstandsamt-zollikon-zollikon-zh";"ZH";"Zuerich";"8702";"Zollikon";"Bergstrasse 20";"";"";"+41 44 395 38 90";"zivilstandsamt@zollikon.ch";"";"";"";"Zollikon"
"zivilstandsamt-zurich-zurich-zh";"Zivilstandsamt Zürich";"zivilstandsamt-zurich-zurich-zh";"ZH";"Zuerich";"8022";"Zürich";"Stadthausquai 17";"";"";"+41 44 270 95 10";"infozsa@zuerich.ch";"";"";"";"Zürich"
"zivilstandskreis-bezirk-andelfingen-kleinandelfingen-zh";"Zivilstandskreis Bezirk Andelfingen";"zivilstandskreis-bezirk-andelfingen-kleinandelfingen-zh";"ZH";"Zuerich";"8451";"Kleinandelfingen";"Kanzleistrasse 2";"";"";"";"info@zivba.ch";"";"";"";"Andelfingen, Benken (ZH), Berg am Irchel, Buch am Irchel, Dachsen, Dorf, Feuerthalen, Flaach, Flurlingen, Henggart, Kleinandelfingen, Laufen-Uhwiesen, Marthalen, Ossingen, Rheinau, Stammheim, Thalheim an der Thur, Trüllikon, Truttikon, Volken"
"zivilstandskreis-bulach-bulach-zh";"Zivilstandskreis Bülach";"zivilstandskreis-bulach-bulach-zh";"ZH";"Zuerich";"8180";"Bülach";"Allmendstrasse 6";"";"";"";"zivilstandsamt@buelach.ch";"";"";"";"Bachenbülach, Bülach, Eglisau, Embrach, Freienstein-Teufen, Glattfelden, Hochfelden, Höri, Hüntwangen, Lufingen, Oberembrach, Rafz, Rorbas, Stadel, Wasterkingen, Weiach, Wil (ZH), Winkel"
"zivilstandskreis-dietikon-dietikon-zh";"Zivilstandskreis Dietikon";"zivilstandskreis-dietikon-dietikon-zh";"ZH";"Zuerich";"8953";"Dietikon";"Bremgartnerstrasse 22";"";"";"+41 44 744 36 29";"zivilstandsamt@dietikon.ch";"";"";"";"Aesch (ZH), Birmensdorf, Dietikon, Geroldswil, Oberengstringen, Oetwil an der Limmat, Schlieren, Uitikon, Unterengstringen, Urdorf, Weiningen"
"zivilstandskreis-dubendorf-dubendorf-zh";"Zivilstandskreis Dübendorf";"zivilstandskreis-dubendorf-dubendorf-zh";"ZH";"Zuerich";"8600";"Dübendorf";"Usterstrasse 2";"";"";"+41 44 801 67 15";"zivilstandsamt@duebendorf.ch";"";"";"";"Dübendorf, Fällanden, Maur, Wallisellen, Wangen-Brüttisellen"
"zivilstandskreis-furttal-regensdorf-zh";"Zivilstandskreis Furttal";"zivilstandskreis-furttal-regensdorf-zh";"ZH";"Zuerich";"8105";"Regensdorf";"Watterstrasse 116";"";"";"+41 44 842 39 45";"zivilstandsamt@regensdorf.ch";"";"";"";"Boppelsen, Buchs (ZH), Dällikon, Dänikon, Hüttikon, Otelfingen, Regensdorf"
"zivilstandskreis-horgen-horgen-zh";"Zivilstandskreis Horgen";"zivilstandskreis-horgen-horgen-zh";"ZH";"Zuerich";"8810";"Horgen";"Bahnhofstrasse 10";"Postfach";"";"+41 44 728 43 00";"zivilstandsamt@horgen.ch";"";"";"";"Horgen, Oberrieden"
"zivilstandskreis-illnau-effretikon-effretikon-zh";"Zivilstandskreis Illnau-Effretikon";"zivilstandskreis-illnau-effretikon-effretikon-zh";"ZH";"Zuerich";"8307";"Effretikon";"Märtplatz 29";"";"";"+41 52 354 23 23";"zivilstandsamt@ilef.ch";"";"";"";"Illnau-Effretikon, Lindau, Weisslingen"
"zivilstandskreis-kloten-kloten-zh";"Zivilstandskreis Kloten";"zivilstandskreis-kloten-kloten-zh";"ZH";"Zuerich";"8302";"Kloten";"Kirchgasse 7";"";"";"+41 44 815 16 00";"zivilstandsamt@kloten.ch";"";"";"";"Bassersdorf, Dietlikon, Kloten, Nürensdorf, Opfikon, Rümlang"
"zivilstandskreis-kusnacht-kusnacht-zh-zh";"Zivilstandskreis Küsnacht";"zivilstandskreis-kusnacht-kusnacht-zh-zh";"ZH";"Zuerich";"8700";"Küsnacht ZH";"Obere Dorfstrasse 32";"Postfach";"";"";"zivilstandsamt@kuesnacht.ch";"";"";"";"Erlenbach, Herrliberg, Küsnacht, Zumikon"
"zivilstandskreis-mannedorf-mannedorf-zh";"Zivilstandskreis Männedorf";"zivilstandskreis-mannedorf-mannedorf-zh";"ZH";"Zuerich";"8708";"Männedorf";"Bahnhofstrasse 10";"";"";"+41 44 921 66 05";"zivilstandsamt@maennedorf.ch";"";"";"";"Hombrechtikon, Männedorf, Meilen, Oetwil am See, Stäfa, Uetikon am See"
"zivilstandskreis-pfaffikon-pfaffikon-zh-zh";"Zivilstandskreis Pfäffikon";"zivilstandskreis-pfaffikon-pfaffikon-zh-zh";"ZH";"Zuerich";"8330";"Pfäffikon ZH";"Postfach";"";"";"+41 44 952 52 00";"zivilstandsamt@pfaeffikon.ch";"";"";"";"Bauma, Fehraltorf, Hittnau, Pfäffikon, Russikon, Wila, Wildberg"
"zivilstandskreis-ruti-zh-ruti-zh-zh";"Zivilstandskreis Rüti ZH";"zivilstandskreis-ruti-zh-ruti-zh-zh";"ZH";"Zuerich";"8630";"Rüti ZH";"Breitenhofstrasse 30";"";"";"";"zivilstandsamt@rueti.ch";"";"";"";"Bubikon, Dürnten, Rüti, Wald (ZH)"
"zivilstandskreis-sihltal-albis-adliswil-zh";"Zivilstandskreis Sihltal-Albis";"zivilstandskreis-sihltal-albis-adliswil-zh";"ZH";"Zuerich";"8134";"Adliswil";"Zürichstrasse 10";"";"";"044 711 77 16";"zivilstandsamt@adliswil.ch";"";"";"";"Adliswil, Aeugst am Albis, Affoltern am Albis, Bonstetten, Hausen am Albis, Hedingen, Kappel am Albis, Knonau, Langnau am Albis, Maschwanden, Mettmenstetten, Obfelden, Ottenbach, Rifferswil, Stallikon, Wettswil am Albis"
"zivilstandskreis-thalwil-ruschlikon-kilchberg-thalwil-zh";"Zivilstandskreis Thalwil-Rüschlikon-Kilchberg";"zivilstandskreis-thalwil-ruschlikon-kilchberg-thalwil-zh";"ZH";"Zuerich";"8800";"Thalwil";"alte Landstrasse 112";"";"";"";"zivilstandsamt@thalwil.ch";"";"";"";"Kilchberg (ZH), Rüschlikon, Thalwil"
"zivilstandskreis-uster-uster-zh";"Zivilstandskreis Uster";"zivilstandskreis-uster-uster-zh";"ZH";"Zuerich";"8610";"Uster";"Bahnhofstrasse 17";"";"";"+41 44 944 78 00";"zivilstandsamt@uster.ch";"";"";"";"Egg, Mönchaltorf, Uster"
"zivilstandskreis-wadenswil-wadenswil-zh";"Zivilstandskreis Wädenswil";"zivilstandskreis-wadenswil-wadenswil-zh";"ZH";"Zuerich";"8820";"Wädenswil";"Florhofstrasse 6";"Postfach";"";"";"zivilstandswesen@waedenswil.ch";"";"";"";"Richterswil, Wädenswil"
"zivilstandskreis-wetzikon-wetzikon-zh";"Zivilstandskreis Wetzikon";"zivilstandskreis-wetzikon-wetzikon-zh";"ZH";"Zuerich";"8622";"Wetzikon";"Bahnhofstrasse 167";"";"";"+41 44 931 32 01";"zivilstandswesen@wetzikon.ch";"";"";"";"Bäretswil, Fischenthal, Gossau (ZH), Grüningen, Hinwil, Seegräben, Wetzikon"
"zivilstandskreis-winterthur-winterthur-zh";"Zivilstandskreis Winterthur";"zivilstandskreis-winterthur-winterthur-zh";"ZH";"Zuerich";"8403";"Winterthur";"Pionierstrasse 7";"";"";"+41 52 267 57 25";"zivilstandsamt@win.ch";"";"";"";"Altikon, Brütten, Dägerlen, Dättlikon, Dinhard, Elgg, Ellikon an der Thur, Elsau, Hagenbuch, Hettlingen, Neftenbach, Pfungen, Rickenbach (ZH), Schlatt (ZH), Seuzach, Turbenthal, Wiesendangen, Winterthur, Zell (ZH)"
